Data Set 1:Time(s),Data Set 1:X-axis acceleration(m/s²),Data Set 1:Heart Rate(bpm),Data Set 1:Z-axis acceleration(m/s²),Data Set 1:Y-axis acceleration(m/s²),Data Set 1:X-angular velocity(rad/s),Data Set 1:Z-angular velocity(rad/s),Data Set 1:Y-angular velocity(rad/s)
33.720000000000000,11.63103199005130,,0.56263774633407600,3.1116960048675500,-0.27299502491951000,0.015154565684497400,0.2707388699054720
33.740000000000000,12.181698799133300,,0.76375067234039300,2.7812962532043500,-0.056957323104143100,0.10667792707681700,0.2707388699054720
33.760000000000000,11.827356338501000,,0.77332746982574500,2.9345250129699700,0.24741105735302000,0.30036687850952100,0.22072029113769500
33.780000000000000,11.075577735900900,,0.65840578079223600,3.657573938369750,0.40278789401054400,0.49512010812759400,0.19837155938148500
33.800000000000000,10.07958984375,,0.92655640840530400,4.0885305404663100,0.41130170226097100,0.63240510225296000,0.20582114160060900
33.82,9.7396125793457000,,0.86430716514587400,4.3135852813720700,0.48686167597770700,0.70690089464187600,0.1834724098443990
33.840000000000000,9.6869401931762700,,0.64882898330688500,4.4811797142028800,0.54858678579330400,0.67178148031234700,0.16538058221340200
33.860000000000000,9.7156705856323200,,0.10295102000236500,4.696657657623290,0.55816477537155200,0.57706540822982800,0.16005946695804600
33.880000000000000,9.720458984375,,-0.17477637529373200,5.1563444137573200,0.50708198547363300,0.49086317420005800,0.21220649778842900
33.900000000000000,9.5193462371826200,,-0.50038778781890900,5.5681471824646000,0.33148482441902200,0.41211053729057300,0.338849276304245
33.920000000000000,9.0548715591430700,,-0.43813854455947900,5.7261643409729000,0.090969964861869800,0.33548632264137300,0.52828133106231700
33.940000000000000,8.1546516418457000,,-0.25617921352386500,5.5346283912658700,-0.21659108996391300,0.29717421531677200,0.62512582540512100
33.960000000000000,7.378929615020750,,-0.44771534204483000,4.7828488349914600,-0.57949185371398900,0.33016520738601700,0.45591405034065200
33.980000000000000,7.11077880859375,,-0.84036445617675800,4.0885305404663100,-0.85938304662704500,0.44084459543228100,0.15473833680152900
34,7.000645637512210,79.428571428571400,-1.16597580909729,3.5761711597442600,-1.0264664888382000,0.5834507942199710,-0.083648093044757800
34.020000000000000,7.2017583847045900,,-0.93613255023956300,3.4899797439575200,-1.1999350786209100,0.69413018226623500,-0.066620491445064500
34.040000000000000,7.8098855018615700,,-0.17956477403640700,2.3599166870117200,-0.96899819374084500,0.55471670627594000,-0.11983174830675100
34.060000000000000,7.7811551094055200,,-0.17477637529373200,1.8188272714614900,-0.58268451690673800,0.24396297335624700,-0.29862156510353100
34.080000000000000,7.7907319068908700,,-0.4525037407875060,2.3216094970703100,-0.50499606132507300,-0.10297442227602000,-0.42739278078079200
34.100000000000000,8.2647848129272500,,-0.19392998516559600,3.0781772136688200,-0.84554809331893900,-0.18491975963115700,-0.3880164623260500
34.120000000000000,9.0405063629150400,,-0.2418140172958370,2.7669308185577400,-0.57523494958877600,-0.2328098863363270,-0.39333757758140600
34.140000000000000,9.1314859390258800,,-0.28012123703956600,2.6807396411895800,-0.1538018137216570,-0.34242507815361000,-0.48486095666885400
34.160000000000000,9.1602163314819300,,-0.13646914064884200,3.0781772136688200,-0.22084799408912700,-0.39882898330688500,-0.55190712213516200
34.18,9.4187898635864300,,0.040701787918806100,3.4660377502441400,-0.42198655009269700,-0.29240649938583400,-0.56254935264587400
34.200000000000000,9.8114385604858400,,0.33279439806938200,3.4085769653320300,-0.40708738565444900,-0.14235074818134300,-0.48911786079406700
34.220000000000000,10.160992622375500,,0.66319417953491200,3.2792901992797900,-0.2761877179145810,0.0790080726146698,-0.35396125912666300
34.240000000000000,10.314221382141100,,0.97444039583206200,2.8243918418884300,-0.23468291759491000,0.31526604294776900,-0.19858439266681700
34.260000000000000,10.544064521789600,,1.0079593658447300,2.1875340938568100,-0.15912292897701300,0.45361530780792200,-0.033629514276981400
34.280000000000000,10.60152530670170,,0.76375067234039300,1.9002300500869800,0.11331869661808000,0.49299162626266500,0.20901381969451900
34.300000000000000,10.35252857208250,,0.70150142908096300,1.459696888923650,0.46770563721656800,0.53236794471740700,0.44527179002761800
34.32,9.9742450714111300,,0.6153101921081540,1.4070245027542100,0.77739518880844100,0.5802580714225770,0.55807965993881200
34.340000000000000,9.5768070220947300,,0.13646985590457900,1.6225026845932000,0.96363455057144200,0.58770769834518400,0.62406158447265600
34.360000000000000,9.4331550598144500,,-0.15562275052070600,2.0151515007019000,1.0200384855270400,0.60473525524139400,0.69217199087142900
34.380000000000000,9.3325986862182600,,-0.29448643326759300,2.4508962631225600,0.97853368520736700,0.61644172668457000,0.71558499336242700
