Time,hr,Xacc,Zacc,Yacc,Xg,Zg,Yg
1.98,,2.245761395,-9.362094879,2.798822165,-0.006938747,0.013026114,0.00468259
2,97.25,2.236184597,-9.304634094,2.837129354,-0.012259873,0.016218789,0.012132166
2.02,,2.102109194,-9.285480499,2.885013342,-0.022902124,0.022604141,0.021710193
2.04,,2.011129618,-9.467439651,2.659958363,-0.020773673,0.026861042,0.00042569
2.06,,1.996764302,-9.697283745,2.726995945,0.032437582,0.032182168,-0.015537686
2.08,,2.025494814,-9.615880966,2.918532133,0.087777287,0.011961889,-0.043207541
2.1,,2.087743998,-9.180135727,2.865859747,0.077135041,0.004512314,-0.021923037
2.12,,2.044648409,-9.060425758,2.899378538,-0.012259873,0.013026114,0.017453292
2.14,,2.087743998,-9.500958443,2.932897329,-0.066535354,0.011961889,0.025967093
2.16,,2.011129618,-9.596726418,2.861071348,-0.044186626,0.003448089,0.010003716
2.18,,1.968033671,-9.457862854,2.827552557,-0.011195648,-0.012515288,-0.004895436
2.2,,2.126051188,-9.429132462,2.717419147,-0.010131422,-0.010386838,-0.008088111
2.22,,2.087743998,-9.376460075,2.798822165,0.005831954,-0.002937262,-0.009152336
2.24,,2.183511972,-9.333364487,2.798822165,0.000510829,-0.011451063,-0.00383121
2.26,,2.169146776,-9.314210892,2.770091534,-0.001617622,-0.005065712,0.00681104
2.28,,2.15478158,-9.481804848,2.81797576,-0.003746072,-0.000808812,0.020645967
2.3,,2.025494814,-9.419555664,2.841917753,-0.02822325,0.000255413,0.025967093
2.32,,1.900996089,-9.491381645,2.952050924,-0.019709449,-0.005065712,0.021710193
2.34,,1.991975904,-9.481804848,2.880224943,0.004767729,-0.013579513,0.010003716
2.36,,2.03986001,-9.467439651,2.851494551,0.021795331,-0.011451063,0.00468259
2.38,,2.035071611,-9.386036873,2.74614954,0.048400957,-0.006129937,-0.000638535
2.4,,2.173935175,-9.347729683,2.889801741,0.048400957,-0.001873037,-0.005959661
2.42,,2.111685991,-9.347729683,2.918532133,0.031373356,-0.008258387,0.010003716
2.44,,2.068590403,-9.352518082,2.908955336,0.021795331,-0.002937262,0.00042569
2.46,,1.991975904,-9.328576088,3.014300108,0.01328153,-0.004001487,-0.000638535
2.48,,2.044648409,-9.35730648,2.990358114,0.001575054,-0.014643738,-0.021923037
2.5,,2.183511972,-9.285480499,2.813187361,-0.016516773,-0.000808812,0.00468259
2.52,,2.0781672,-9.256750107,2.865859747,-0.031415924,0.004512314,0.007875266
2.54,,2.006341219,-9.453074455,2.899378538,-0.034608599,-0.001873037,0.005746815
2.56,,2.169146776,-9.429132462,2.813187361,-0.020773673,0.002383864,-0.012345011
2.58,,2.054225206,-9.429132462,2.846706152,-0.031415924,0.000255413,0.008939491
2.6,,2.030283213,-9.352518082,2.947262526,-0.019709449,-0.001873037,-0.00170276
2.62,,2.035071611,-9.314210892,2.832340956,-0.019709449,0.007704989,0.00255414
2.64,,1.944091678,-9.390825272,2.913743734,-0.02822325,0.008769213,-0.009152336
2.66,,2.130839586,-9.390825272,2.827552557,-0.034608599,0.015154566,0.001489915
2.68,,2.025494814,-9.539265633,2.794033766,-0.033544373,0.002383864,0.00255414
2.7,,1.93451488,-9.481804848,2.865859747,-0.027159024,-0.010386838,-0.008088111
2.72,,1.881842494,-9.529688835,2.875436544,-0.015452549,-0.018900638,-0.00383121
2.74,,2.030283213,-9.400402069,2.841917753,-0.003746072,-0.015707962,-0.002766985
2.76,,2.082955599,-9.333364487,2.813187361,0.009024629,-0.008258387,-0.002766985
2.78,,2.097320795,-9.285480499,2.889801741,-0.012259873,0.006640764,-0.00170276
2.8,,2.106897593,-9.424344063,2.770091534,-0.016516773,0.002383864,0.00681104
2.82,,1.982398868,-9.520112038,2.750937939,0.007960404,-0.015707962,-0.000638535
2.84,,2.102109194,-9.443497658,2.77966857,0.039887156,-0.007194162,-0.007023886
2.86,,2.121262789,-9.261538506,2.770091534,0.035630256,-0.001873037,-0.016601911
2.88,,2.164358377,-9.304634094,2.813187361,0.032437582,0.002383864,-0.004895436
2.9,,2.217030764,-9.362094879,2.765303135,0.028180681,0.009833439,-0.017666137
2.92,,2.23139596,-9.333364487,2.894590139,0.027116455,0.009833439,-0.007023886
2.94,,2.059013605,-9.347729683,2.880224943,0.021795331,0.001319638,0.011067941
2.96,,2.15478158,-9.352518082,2.856282949,-0.005874522,0.008769213,0.00681104
2.98,,2.188300371,-9.266326904,2.885013342,-0.019709449,0.007704989,0.015324841
3,98.2,2.566584349,-9.563207626,2.760514736,-0.02396635,-0.008258387,0.040866241
3.02,,2.93529129,-10.39638996,3.459621668,-0.082498729,-0.045506265,0.189857766
3.04,,4.673481464,-10.99494076,6.461950779,-0.713584185,-0.13915807,0.436757982
3.06,,5.176263809,-12.37878895,6.744466782,-0.373032182,-0.807491422,0.976320088
3.08,,4.38617754,-12.67567062,11.63342667,0.827413738,-1.741881132,1.339220881
3.1,,7.173027992,-7.327023029,12.64377975,2.169401646,-2.617738485,2.414088011
3.12,,9.581595421,-6.120345592,9.746795654,1.627710938,-3.884166241,3.453835964
3.14,,7.216123581,-8.394837379,11.14500904,2.135346413,-4.270479679,4.094499588
3.16,,7.977479458,-5.27758646,7.127539158,4.951285839,-5.474118233,5.111898899
3.18,,13.69483376,2.709470034,3.37343049,3.218727589,-7.454641342,3.786938429
3.2,,20.17833138,-0.0678038,2.2242136,1.166901469,-7.856918335,2.92598033
3.22,,11.33415127,-3.587280273,-2.094926119,-2.349298,-7.888844967,0.750704408
3.24,,7.249642372,-24.58921814,-5.049370766,-2.893117189,-6.757574081,0.667694807
3.26,,5.099649429,-39.10286713,-2.985569239,2.992047548,-6.957648277,-1.658701181
3.28,,4.400542736,-30.43107033,-8.880093575,14.72406483,-4.092754364,-3.44234252
3.3,,16.79771805,10.47147179,-3.402160406,5.026845932,-0.984152794,-5.13552475
3.32,,2.633621931,6.454001904,5.844246864,0.854019403,0.431266576,-4.524659157
3.34,,20.97320557,2.465261459,6.184223652,2.314136267,-1.078868866,-4.751339436
3.36,,20.98278236,10.32303143,12.466609,2.838799238,-2.466618538,-3.95636344
3.38,,17.7841301,-4.171465397,15.19121075,-0.517766774,-1.867459655,-2.022666454
3.4,,14.71955204,-17.55505371,13.79778481,0.222933874,-1.631201625,-0.427392781
3.42,,9.950302124,-19.3411274,10.5225172,3.026102781,-1.310869932,-0.016601911
3.44,,6.220135689,-11.47378063,4.364630222,3.675280094,-0.661692619,-0.062363595
3.46,,6.95276165,-3.00309515,4.034230232,5.032166958,-1.24701643,-0.377374202
3.48,,4.754884243,-4.750862122,0.002394557,4.415980816,-2.421921015,-0.511466563
3.5,,5.61679697,-5.153088093,-0.098161913,4.626697063,-2.032414675,-0.797743142
3.52,,7.393294811,-6.240055561,-1.362300396,5.015139103,-0.634022772,-1.382002711
3.54,,2.494758368,0.693552375,-3.995922327,4.17333746,-0.711711168,-1.15532279
3.56,,-0.871489406,4.945654869,-6.232106686,1.871418476,-0.554205835,-1.70871985
3.58,,-2.135627985,2.379070282,-9.957484245,0.612440288,0.032182168,-2.668650866
3.6,,-2.983175278,3.437307358,-10.42195988,1.314828753,0.49724853,-3.464691401
3.62,,-2.355894327,18.30051041,-0.064643085,0.509210467,-0.435012639,-3.134781599
3.64,,4.726153851,17.97968864,0.897825956,0.428329319,-0.839418173,-1.966262341
3.66,,1.733401895,9.202545166,-3.900154352,-0.320885152,-1.283200026,-0.254988313
3.68,,-1.417367458,12.14262486,-6.739677429,-0.148480684,-0.503123045,-0.397594482
