Time,Xacc,hr,Zacc,Yacc,Xg,Zg,Yg
0.78,10.18014622,,-1.097310543,0.011971366,-0.010131422,-0.002766985,-0.021029089
0.8,10.29985619,,-0.723815084,-0.007182248,0.020731106,0.038737793,-0.010386838
0.82,10.41956615,,-0.096534222,0.256179959,0.05478631,0.078114122,-0.040185139
0.84,10.58237171,,0.870723248,0.519542098,-0.050571974,0.123875804,-0.15405722
0.86,10.45308495,,1.023952246,0.682347834,-0.189985454,0.202628464,-0.24664481
0.88,10.53448772,,1.253795624,1.065420151,-0.313435584,0.288830698,-0.360516906
0.9,10.73560047,,0.980856538,1.03190136,-0.417729646,0.446336001,-0.55952698
0.92,10.51533413,,0.703129172,1.386243224,-0.142095327,0.641089201,-0.725546122
0.94,10.33816338,,0.937760949,1.855506659,0.064364329,0.714520752,-0.831968606
0.96,10.69729328,,1.718270659,2.061408043,-0.016516773,0.826264381,-0.971382082
0.98,10.60152531,,1.387870908,1.807622671,-0.193178132,0.89650321,-1.023529172
1,10.46266174,87.33333333,0.707917571,1.783680677,-0.316628247,0.976320088,-1.067162395
1.02,10.06043625,,-0.278493553,0.99838239,-0.245325163,1.137018085,-0.929877341
1.04,9.619902611,,-0.369473219,0.897825956,0.184621781,1.007182598,-0.93945533
1.06,9.830592155,,-0.144418254,1.237802625,0.199520931,0.840099275,-0.942648053
1.08,9.591172218,,0.468497366,1.247379541,-0.063342676,0.881604075,-0.825583279
1.1,9.193735123,,0.86114645,1.199495435,-0.324077845,0.8656407,-0.70319736
1.12,8.686163902,,0.870723248,1.127669454,-0.598647892,0.816686332,-0.573361933
1.14,8.987833977,,0.837204456,1.285686731,-0.799786448,0.826264381,-0.483967006
1.16,9.198523521,,1.191546321,1.946486354,-0.900887787,0.864576459,-0.487159669
1.18,8.6957407,,1.761366248,2.726995945,-1.006246209,0.832649708,-0.480774343
1.2,8.595184326,,2.446107864,2.856282949,-1.221219659,0.813493669,-0.427563071
1.22,8.992622375,,1.742212653,2.928108931,-1.425550818,0.843291998,-0.326461703
1.24,9.078813553,,0.760590076,3.335123301,-1.296779633,0.868833363,-0.301984519
1.26,8.959102631,,0.162039578,3.459621668,-0.925364971,0.856062651,-0.305177182
1.28,8.705317497,,0.214711994,3.220201492,-0.541179717,0.787952244,-0.319012105
1.3,8.418013573,,0.937760949,3.239355087,-0.301729113,0.638960779,-0.300920278
1.32,8.432378769,,1.301679611,3.387795687,-0.311307132,0.488905013,-0.255158603
1.34,8.087614059,,1.316044807,3.512294054,-0.454977512,0.412280798,-0.181727082
1.36,7.900865078,,1.30646801,3.584120274,-0.551822007,0.342041939,-0.145543426
1.38,7.867346287,,1.004798651,3.392584085,-0.529473245,0.262225062,-0.101910196
1.4,7.709329128,,0.774955273,3.665523052,-0.501803398,0.147288755,-0.022093315
1.42,8.04930687,,0.856358051,3.579331875,-0.413472742,0.05257272,0.057723567
1.44,8.125921249,,0.875511646,3.775656462,-0.34004122,-0.041079089,0.123705521
1.46,8.303092003,,0.765378475,3.507505655,-0.283637285,-0.177299902,0.154568046
1.48,8.327033997,,0.506804585,3.603273869,-0.220847994,-0.29330042,0.163081855
1.5,8.23605442,,0.707917571,4.192247868,-0.122939274,-0.301814228,0.041760191
1.52,8.528146744,,0.803685665,4.426879406,0.060107436,-0.281593949,-0.106167093
1.54,9.323021889,,1.086201429,4.70460701,0.344255537,-0.281593949,-0.14980033
1.56,9.610325813,,1.646444678,4.4508214,0.680550694,-0.243281856,-0.203011572
1.58,9.198523521,,2.034305096,4.570531368,0.864661634,-0.246474534,-0.152992994
1.6,8.825027466,,2.407800674,4.278439045,0.923193991,-0.291171968,-0.060405418
1.62,9.040506363,,2.316821098,4.067749023,0.920001328,-0.207098201,-0.065726541
1.64,8.944737434,,2.335974693,3.986346006,0.794422746,-0.204969749,-0.083818369
1.66,8.954314232,,2.795661449,3.876212835,0.678422213,-0.187942147,-0.143414974
1.68,8.762778282,,3.001562595,3.904943228,0.381503403,-0.140052021,-0.146607652
1.7,8.42759037,,2.57060647,3.78044486,0.120768264,-0.110253721,-0.132772729
1.72,8.561665535,,1.981632829,3.919308424,-0.015452549,-0.100675695,-0.155121446
1.74,8.628703117,,1.761366248,3.718195438,0.026052231,-0.064492039,-0.182791308
1.76,8.537723541,,1.775731444,3.790021658,0.177172199,-0.071941622,-0.182791308
1.78,8.748413086,,2.082189322,3.842694044,0.279337794,-0.082583867,-0.156185672
1.8,8.81066227,,2.101342916,3.809175253,0.312328786,-0.112382174,-0.128515825
1.82,9.026141167,,1.995998025,3.804386854,0.339998633,-0.131538212,-0.090203717
1.84,9.059659958,,1.852346063,3.770868063,0.416622818,-0.152822718,-0.092332169
1.86,8.753201485,,1.857134461,3.517082691,0.561357498,-0.138987795,-0.071047664
1.88,8.643068314,,1.775731444,3.440468073,0.699706733,-0.15495117,-0.000808812
1.9,8.719682693,,1.742212653,3.215413094,0.864661634,-0.186877921,0.086457647
1.92,8.887276649,,1.747001052,2.674323559,0.990240216,-0.198584393,0.222678453
1.94,8.480262756,,1.612925887,2.659958363,1.192442894,-0.244346082,0.382312238
1.96,8.23605442,,1.550676584,2.348712206,1.233947635,-0.299685776,0.646240056
1.98,8.829815865,,0.937760949,1.659182191,1.315893054,-0.267759025,0.919745922
2,9.035717964,88.5,0.425401777,1.802834272,1.274388194,-0.372053087,0.888883352
2.02,9.08839035,,1.67996347,1.486799598,1.672408462,-0.515723467,0.619634449
2.04,8.925583839,,3.671939135,2.200271606,1.374425411,-0.555099785,0.398275614
2.06,8.738836288,,4.45723772,2.056619644,0.725248158,-0.489117861,0.49724853
2.08,9.361329079,,3.418153763,1.788469076,0.181429103,-0.402915627,0.721800029
2.1,10.02691746,,2.12528491,1.908179164,-0.137838438,-0.368860424,0.667524576
2.12,9.959879875,,1.723059058,2.26252079,0.092034191,-0.458255321,0.432330817
2.14,9.595960617,,2.206687689,2.63122797,0.258053303,-0.513595045,0.252476752
2.16,9.514557838,,2.441319466,2.511517763,0.319778353,-0.464640677,0.224806905
2.18,9.868899345,,2.144438505,2.55461359,0.342127085,-0.351832807,0.242898732
2.2,10.02212906,,1.713482261,2.252943993,0.433650434,-0.291171968,0.154568046
2.22,9.935936928,,1.459696889,1.750161886,0.62414676,-0.285850853,0.011961889
2.24,9.236830711,,1.847557664,1.429338813,0.899781048,-0.34438324,-0.130644277
2.26,8.877699852,,2.862699032,1.443704009,0.993432879,-0.374181539,-0.247709036
2.28,8.84896946,,3.643208742,1.553837299,0.630532086,-0.32416296,-0.277507335
2.3,9.236830711,,3.533075571,1.29047513,0.16759418,-0.263502121,-0.212589607
2.32,9.691728592,,2.652009249,1.027112961,-0.185728565,-0.171978772,-0.160442576
2.34,9.739612579,,2.158803701,1.070208549,-0.343233883,-0.124088645,-0.13915807
2.36,9.346963882,,1.751789451,1.027112961,-0.369839519,-0.145373136,-0.112552449
2.38,9.260772705,,1.550676584,1.14203465,-0.291086853,-0.182621017,-0.092332169
2.4,9.260772705,,1.502792597,0.984017193,-0.131453082,-0.200712845,-0.083818369
